NUMBER_KEY,PARCELID,ELEV_ZONE,BLDG_ZONE,ELEC_ZONE,MECH_ZONE,PLMB_ZONE,SIGN_ZONE,ENFC_ZONE
M0728882,G0231H A00030,2,17,9,6,8,8,8
M0756068,D0242O A00033,2,16,13,8,8,8,8
E0734070,D0242O A00039,2,16,13,8,8,8,8
CB200155,021094  00001,1,1,6,4,3,7,7
M0737482,093406 A00026,2,16,13,8,7,5,5
C04709382,046050  00021,2,6,8,5,4,2,2
SC005991,060231  00023C,2,10,11,9,7,5,5
E0735737,071029  00017,1,2,1,7,1,4,4
E0735737,071029  00017,1,2,1,7,1,4,4
E0724700,G0231B J00012,2,17,9,6,8,8,8
E0706433,G0231H A00030,2,17,9,6,8,8,8
M0755476,D0241A C00013,2,16,13,8,7,8,8
BD008281,049022  00032,2,10,10,10,6,7,7
E0731390,049024  00012,2,10,10,10,6,7,7
E0731390,049024  00012,2,10,10,10,6,7,7
E0724655,094120 B00130,2,10,11,9,7,5,5
M0746184,094120 B00130,2,10,11,9,7,5,5
P0356427,059016  00213,2,10,15,5,7,2,2
P0360162,093421 A00022,2,16,13,8,7,5,5
M0757547,095205 B00033,1,5,4,2,2,9,9
E0734200,093510 J00045,2,16,13,8,7,8,8
CB200213,072047 A00079,1,5,1,3,1,4,4
P0360344,087041  00012,1,5,2,3,1,3,3
M0601822,060174  00140,2,10,11,9,6,5,5
P0360550,091056  00005,1,15,9,6,5,1,1
M0746190,080008 B00018,1,15,8,5,4,1,1
C04748666,063056  00006,1,6,8,11,4,2,2
E0732284,093514 B00058,2,16,13,8,7,8,8
M0753565,093514 B00058,2,16,13,8,7,8,8
M0679234,015004  00013,2,1,7,11,9,7,7
P0356428,040036  00006,1,2,7,3,9,7,7
E0716500,D0147  C00006,1,5,2,7,1,3,3
E0719445,036022  00024,1,1,7,11,9,7,7
E0729544,G0220J G00007,1,15,9,6,5,1,1
M0752210,G0220J G00007,1,15,9,6,5,1,1
B1117156,044070  00029,1,6,7,11,4,2,2
P0358158,072018  00059,1,2,1,7,1,4,4
E0693892,016010  00026,2,1,7,11,9,7,7
C04724790,079035  00011,2,10,11,9,6,5,5
P0356513,091036  00005,1,15,9,6,5,1,1
M0746193,096203 D00030,1,4,4,2,2,9,9
P0359816,078001  00014,2,10,10,10,6,10,10
P0359814,078001  00014,2,10,10,10,6,10,10
P0359813,078001  00014,2,10,10,10,6,10,10
M0756349,058094  00028,2,16,15,5,7,2,2
P0359812,078001  00014,2,10,10,10,6,10,10
P0359811,078001  00014,2,10,10,10,6,10,10
E0726793,D0242E B00071,2,16,13,8,8,8,8
E0732234,093417 P00029,2,16,13,8,7,5,5
E0733533,035008  00011,2,10,10,10,6,7,7
M0753950,056055 A00044,1,15,8,5,4,1,1
C04737428,086004  00003,1,2,1,3,1,3,3
CBW175539,058088  00005,2,16,15,5,7,2,2
C04646406,018015  00009C,2,1,6,4,3,7,7
E0715404,091113  00117,1,15,9,6,5,1,1
E0734540,D0241A C00013,2,16,13,8,7,8,8
M0739574,031033  00002C,2,10,7,5,9,7,7
M0754521,093200  00338,2,17,13,8,7,5,5
E0695193,020076  00036C,1,1,7,11,9,7,7
E0721818,020091  00002C,1,1,6,4,3,7,7
E0721817,020091  00002C,1,1,6,4,3,7,7
M0643016,002030  00002C,2,1,6,4,3,7,7
M0720967,055064  00040,1,6,8,11,4,2,2
E0733534,052032  00023,1,6,7,11,9,2,2
E0731574,078001  00014,2,10,10,10,6,10,10
C04603432,048011  00024,2,10,15,5,9,7,7
E0735739,060155  00024,2,10,15,5,6,7,7
E0735739,060155  00024,2,10,15,5,6,7,7
E0695195,020076  00036C,1,1,7,11,9,7,7
E0735698,093200  00338,2,17,13,8,7,5,5
E0730024,072020  00023,1,2,1,7,1,4,4
M0751402,072020  00023,1,2,1,7,1,4,4
BC0015486,065050  00024C,2,6,8,5,4,2,2
E0695196,020076  00036C,1,1,7,11,9,7,7
E0732260,064026  00009,1,6,8,11,4,2,2
E20001272,052049  00019,1,6,7,11,9,2,2
C04702738,086040  00080,1,5,2,3,1,3,3
P0356855,031043  00008,2,10,7,5,9,7,7
C04798912,093416 B00013,2,16,13,8,7,5,5
E0732262,G0231V A00073,1,17,9,6,8,1,1
E0729482,094401 E00024,2,10,11,9,7,5,5
E0725653,069010  00010,1,2,1,7,1,4,4
M0714325,048030  00012,2,10,15,5,9,7,7
P0357140,080008  00239,1,17,9,6,7,1,1
M0756348,058094  00028,2,16,15,5,7,2,2
M0741224,058094  00028,2,16,15,5,7,2,2
P0344804,058094  00028,2,16,15,5,7,2,2
M0756351,058094  00028,2,16,15,5,7,2,2
P0323694,096522 A00180,1,5,4,2,5,9,9
M0756350,058094  00028,2,16,15,5,7,2,2
M0753180,056014  00006,1,6,8,5,4,2,2
M0741228,058094  00028,2,16,15,5,7,2,2
C04692318,079063  00009,2,10,11,9,6,5,5
CB190076,091121  00004,1,15,9,6,5,1,1
M0741227,058094  00028,2,16,15,5,7,2,2
C2010137,079009  00048,2,10,11,9,6,5,5
E0695194,020076  00036C,1,1,7,11,9,7,7
P0361210,067039  00004,2,16,8,5,7,2,2
P0333273,068006  00043,1,6,8,11,4,2,2
P0334810,060174  00140,2,10,11,9,6,5,5
E0725628,G0220J J00037,1,15,9,6,5,1,1
M0606736,068006  00043,1,6,8,11,4,2,2
M0606736,068006  00043,1,6,8,11,4,2,2
E0731196,044046  00027,1,6,7,11,4,2,2
CB200113,087005  00070,1,5,2,3,1,3,3
CB200097,054022  00008,1,6,8,11,4,2,2
M0735785,044058  00017,1,6,7,11,4,2,2
E0695201,020076  00036C,1,1,7,11,9,7,7
E0695202,020076  00036C,1,1,7,11,9,7,7
E0695200,020076  00036C,1,1,7,11,9,7,7
