NUMBER_KEY,PARCELID,ELEV_ZONE,BLDG_ZONE,ELEC_ZONE,MECH_ZONE,PLMB_ZONE,SIGN_ZONE,ENFC_ZONE
B1071627,,1,17,9,6,8,1,1
B1071641,,1,17,9,6,8,1,1
E0623281,057013  00001,2,6,8,5,4,2,2
E0723414,057013  00001,2,6,8,5,4,2,2
M0742669,D0209J D00051,1,11,4,2,5,1,1
SR023588,034060  00001,2,10,15,10,6,7,7
E0731677,D0147B F00084,1,5,2,3,1,3,3
M0752748,D0147B F00084,1,5,2,3,1,3,3
B1107850,A0142J E00018,1,4,2,1,2,9,9
M0755933,L0150D A00006,1,4,4,1,2,9,9
M0690709,072045  00077,1,2,1,7,1,4,4
E0698292,G0219B G00040,2,17,9,6,7,1,1
M0723723,D0213W A00082,1,15,4,2,5,1,1
M0746990,091011 E00099,1,11,4,2,5,1,1
M0732981,091011 E00043,1,11,4,2,5,1,1
B1111038,A0151U D00026,1,4,2,1,2,9,9
M0732436,A0151U C00034,1,4,2,1,2,9,9
E0735782,D0209B C00159,1,11,4,2,5,1,1
M0754971,D0209B C00159,1,11,4,2,5,1,1
E0720625,002092 A00020,2,1,6,4,3,7,7
SR023422,091080  00005,1,15,9,6,5,1,1
SR023423,091080  00005,1,15,9,6,5,1,1
B1112540,,1,15,4,2,5,1,1
B1062858,,2,16,13,8,7,5,5
M0646225,,2,16,13,8,7,5,5
M0695369,,2,16,13,8,7,5,5
M0731331,,2,16,13,8,7,5,5
M0751886,,1,1,6,4,3,7,7
M0758348,D0213W A00113,1,15,4,2,5,1,1
M0734629,D0215P D00264,1,11,4,2,5,1,1
E0724863,D0222S A00019,1,11,9,6,5,1,1
M0708524,D0222S A00019,1,11,9,6,5,1,1
E0732914,D0215W F00050,1,11,4,2,5,1,1
M0754448,D0215W F00050,1,11,4,2,5,1,1
E0723771,035023  00012,2,10,10,10,6,7,7
M0707862,D0114   00412,1,2,2,7,1,3,3
P0333779,081079  00030,2,16,13,8,8,8,8
E0706167,D0209B C00105,1,11,4,2,5,1,1
S0106817,,2,16,13,8,7,8,8
C2010523,,1,15,9,6,5,1,1
C2010519,,1,15,9,6,5,1,1
M0749938,,1,15,9,6,5,1,1
SC006052,,2,16,13,8,7,8,8
M0739466,D0209B C00169,1,11,4,2,5,1,1
M0753962,L0150K A00016,1,4,2,1,2,9,9
E0696548,G0221E D00006,1,17,9,6,8,1,1
B1051636,,1,2,1,3,1,3,3
B1092894,,1,2,1,3,1,3,3
BD013310,G0231U B00116C,1,17,9,6,8,1,1
E0735742,G0231U B00116C,1,17,9,6,8,1,1
B1051322,D0136   00230,1,2,1,7,1,4,4
E0724214,,1,2,1,7,1,4,4
E0724217,,1,2,1,7,1,4,4
M0744281,,1,2,1,7,1,4,4
M0744282,,1,2,1,7,1,4,4
SR024452,080023 J00001,1,15,8,5,4,1,1
M0734636,069077 E00024,1,2,6,4,3,7,7
E0726672,093500  00608,2,16,13,8,7,8,8
E0730011,093500  00608,2,16,13,8,7,8,8
M0742546,093500  00608,2,16,13,8,7,8,8
S0107988,093500  00608,2,16,13,8,7,8,8
S0108680,093500  00608,2,16,13,8,7,8,8
S0109792,093500  00608,2,16,13,8,7,8,8
B1051454,080023 A00023C,1,15,8,5,4,1,1
B1117834,080023 A00023C,1,15,8,5,4,1,1
E0670135,080023 A00023C,1,15,8,5,4,1,1
E0705202,080023 A00023C,1,15,8,5,4,1,1
P0354694,080023 A00023C,1,15,8,5,4,1,1
P0360347,080023 A00023C,1,15,8,5,4,1,1
E0726359,D0256T F00011,2,16,13,8,8,8,8
M0756124,D0256T F00011,2,16,13,8,8,8,8
M0747762,D0113   00520,1,2,1,7,1,4,4
BC0015607,092012  00027,1,5,4,2,5,1,1
E0705711,L0150K A00021,1,4,2,1,2,9,9
E0732540,L0150K A00021,1,4,2,1,2,9,9
M0754760,L0150K A00021,1,4,2,1,2,9,9
B1110281,D0104   00129C,1,2,1,7,1,3,3
B1050548,D0120Y B00006,1,4,2,1,2,9,9
E0722038,031020  00021,2,10,15,5,9,7,7
E0727596,020064  00015,1,1,7,11,9,7,7
E0731987,020064  00015,1,1,7,11,9,7,7
P0276664,L0150K A00064,1,4,2,1,2,9,9
E032536,D0209B C00270,1,11,4,2,5,1,1
BC0015294,079042  00010C,2,10,11,9,6,5,5
SC006162,079042  00010C,2,10,11,9,6,5,5
E0731224,L0150K A00058,1,4,2,1,2,9,9
M0756642,L0150K A00058,1,4,2,1,2,9,9
E0720941,096610 F00057,1,11,4,2,5,9,9
M0741990,096610 F00057,1,11,4,2,5,9,9
E0722504,D0147P A00029,1,5,2,7,1,3,3
M0753050,D0147P A00029,1,5,2,7,1,3,3
E0714231,001001  00086,1,1,6,4,3,7,7
B1109115,A0142S F00023,1,4,2,1,2,9,9
E0732839,091011 A00052,1,11,4,2,5,1,1
M0748420,091011 A00052,1,11,4,2,5,1,1
M0714526,A0141A C00048,1,4,2,1,2,9,9
SR023707,,2,16,13,8,8,8,8
E0735513,001001 A00210,1,1,6,4,3,7,7
M0757175,001001 A00210,1,1,6,4,3,7,7
B1116914,065010 B00001C,2,6,8,5,4,2,2
E0737328,D0213W A00021,1,15,4,2,5,1,1
M0757766,D0213W A00021,1,15,4,2,5,1,1
M0723800,A0141A C00013,1,4,2,1,2,9,9
M0677794,D0222S A00019,1,11,9,6,5,1,1
M0697700,D0222S A00019,1,11,9,6,5,1,1
B1102765,089014  00203,1,15,4,2,5,1,1
B1102768,089014  00203,1,15,4,2,5,1,1
E0678200,089014  00203,1,15,4,2,5,1,1
E0711658,089014  00203,1,15,4,2,5,1,1
M0726389,089014  00203,1,15,4,2,5,1,1
SR025625,020081  00002C,1,1,7,11,9,7,7
E0718031,L0159V D00028,1,4,4,1,2,9,9
M0737946,L0159V D00028,1,4,4,1,2,9,9
B1074006,023002  00030C,2,1,6,4,3,7,7
E0655466,023002  00030C,2,1,6,4,3,7,7
E0668328,023002  00030C,2,1,6,4,3,7,7
E0701017,023002  00030C,2,1,6,4,3,7,7
E0707009,023002  00030C,2,1,6,4,3,7,7
E0708321,023002  00030C,2,1,6,4,3,7,7
ELV02614,023002  00030C,2,1,6,4,3,7,7
M0725102,023002  00030C,2,1,6,4,3,7,7
P0269273,023002  00030C,2,1,6,4,3,7,7
P0337712,023002  00030C,2,1,6,4,3,7,7
P0343406,023002  00030C,2,1,6,4,3,7,7
M0750518,D0256R A00041,2,16,13,8,8,8,8
B1098384,A0151U C00020,1,4,2,1,2,9,9
M0721538,L0159G E00007,1,4,4,2,2,9,9
B1108004,,1,15,9,6,5,1,1
M0666829,060112  00101,2,10,15,5,6,7,7
M0666836,060112  00101,2,10,15,5,6,7,7
M0666837,060112  00101,2,10,15,5,6,7,7
M0698772,060112  00101,2,10,15,5,6,7,7
E0734934,A0141T A00017,1,4,2,1,2,9,9
M0747834,A0141T A00017,1,4,2,1,2,9,9
CZW201497,D0147S A00050,1,5,2,7,1,3,3
E0708311,001019  00004C,1,1,6,4,3,7,7
E0723814,D0223Y A00002,1,11,9,6,5,1,1
P0352574,D0223Y A00002,1,11,9,6,5,1,1
P0348375,D0215   00618,1,11,4,2,5,1,1
E0737333,096506 I00051,1,11,4,2,5,1,1
BC0015478,,2,16,13,8,8,8,8
E0737307,,2,16,13,8,8,8,8
M0742699,L0159V C00002,1,4,4,1,2,9,9
M0747640,D0216Y A00021,1,11,4,2,5,1,1
B1118366,079042 00064,2,10,11,9,6,5,5
C1911232,079042 00064,2,10,11,9,6,5,5
S0109406,078005  00071C,2,10,11,9,6,5,5
SO0107527,,2,16,13,8,7,5,5
B1108023,D0147T A00076,1,5,2,7,1,3,3
B1107855,L0159V C00007,1,4,4,1,2,9,9
P0341522,,1,15,4,2,5,1,1
B1104458,L0150A B00089,1,4,2,2,2,9,9
E0697049,L0150A B00089,1,4,2,2,2,9,9
M0720086,081027 A00049,2,17,9,6,7,1,1
E0719814,001077 A00001,1,1,6,4,3,7,7
M0740897,001077 A00001,1,1,6,4,3,7,7
M0736853,D0147J A00068,1,5,2,7,1,3,3
M0708996,,2,16,13,8,8,8,8
P0345694,,2,16,13,8,8,8,8
E0708900,,1,5,2,3,1,3,3
SR024037,,1,15,4,2,5,1,1
M0693685,G0221I A00017,1,17,9,6,8,1,1
M0693696,G0221I A00017,1,17,9,6,8,1,1
B1051656,046026  00001C,2,6,8,5,4,2,2
B1114264,046026  00001C,2,6,8,5,4,2,2
M0751479,046026  00001C,2,6,8,5,4,2,2
M0754645,D0255B D00015,2,16,13,8,7,8,8
E0705396,A0141A C00015,1,4,2,1,2,9,9
M0714525,A0141A C00015,1,4,2,1,2,9,9
M0750610,A0141C D00081,1,4,2,1,2,9,9
M0738483,G0220J S00010,1,15,9,6,5,1,1
P0349929,,1,15,9,6,5,1,1
M0758061,D0256T F00050,2,16,13,8,8,8,8
B1116917,L0150D B00059,1,4,2,1,2,9,9
M0721744,078004  00037,2,10,11,9,6,5,5
B1088090,,1,17,9,6,7,1,1
B1118139,080008  00239,1,17,9,6,7,1,1
B1118913,080008  00239,1,17,9,6,7,1,1
E0721088,080008  00239,1,17,9,6,7,1,1
E0730072,080008  00239,1,17,9,6,7,1,1
M0617570,080008  00239,1,17,9,6,7,1,1
M0758376,080008  00239,1,17,9,6,7,1,1
P0332205,080008  00239,1,17,9,6,7,1,1
P0356992,080008  00239,1,17,9,6,7,1,1
P0357140,080008  00239,1,17,9,6,7,1,1
P0357337,080008  00239,1,17,9,6,7,1,1
E0704904,,1,17,9,6,7,1,1
E0694494,,1,17,9,6,7,1,1
B1118469,,1,17,9,6,7,1,1
BC0014423,,1,17,9,6,7,1,1
E0731300,,1,17,9,6,7,1,1
M0670945,,1,17,9,6,7,1,1
SR023430,,1,17,9,6,7,1,1
M0722283,A0141P A00034,1,4,2,1,2,9,9
B1095114,002053  00010,2,1,6,4,3,7,7
SR024677,D0147   00523,1,5,2,3,1,3,3
B1113344,D0215   00093C,1,11,4,2,5,1,1
M0734967,096202 B00066,1,4,4,2,2,9,9
M0755873,091112 A00019,1,15,9,6,5,1,1
E0727583,,2,16,11,9,7,5,5
E0716783,,2,16,13,8,8,8,8
B1108650,080023 A00022,1,15,8,5,4,1,1
E0719061,080023 A00022,1,15,8,5,4,1,1
E0731295,080023 A00022,1,15,8,5,4,1,1
E0737066,080023 A00022,1,15,8,5,4,1,1
P0356506,080023 A00022,1,15,8,5,4,1,1
P0359920,080023 A00022,1,15,8,5,4,1,1
M0722814,D0147P A00041,1,5,2,7,1,3,3
BC0013907,,1,5,4,2,5,9,9
P0314809,,1,5,4,2,5,9,9
SR024825,,1,5,4,2,5,9,9
E0710838,091088 B00014,1,15,9,6,5,1,1
M0743794,,2,10,11,9,7,5,5
E0732845,069077  00028,1,2,6,4,3,7,7
M0748413,069077  00028,1,2,6,4,3,7,7
M0719685,096621 A00127,1,4,4,2,2,9,9
B1116282,091088 B00018,1,15,9,6,5,1,1
E0698224,L0150K A00031,1,4,2,1,2,9,9
M0724053,L0150K A00031,1,4,2,1,2,9,9
SC006121,073101  00801,2,16,11,9,7,5,5
BC0013622,,2,10,10,10,6,10,10
BC0013793,,2,10,10,10,6,10,10
E0703848,,2,10,10,10,6,10,10
E0710389,091083 D00034,1,15,9,6,5,1,1
M0749929,D0147J A00014,1,5,2,7,1,3,3
E0712390,,1,15,9,6,5,1,1
E0722884,,1,15,9,6,5,1,1
P0330087,,1,15,9,6,5,1,1
P0332184,,1,15,9,6,5,1,1
P0355501,,1,15,9,6,5,1,1
SR025355,,1,15,9,6,5,1,1
SR025406,,1,15,9,6,5,1,1
S0109695,093500  00176,2,16,13,8,7,8,8
M0738193,091011 E00080,1,11,4,2,5,1,1
E0715257,,1,4,4,2,2,9,9
E071527,,1,4,4,2,2,9,9
B1051635,002083 A00012,2,1,6,4,3,7,7
S0106075,,1,5,4,2,2,9,9
S0106179,,1,5,4,2,2,9,9
S0106180,,1,5,4,2,2,9,9
S0106182,,1,5,4,2,2,9,9
SR025643,081082  00023C,2,16,13,8,8,8,8
M0753539,091022 A00066,1,11,4,2,5,1,1
E0703456,057012  00043,2,6,8,5,4,2,2
E0703465,057012  00043,2,6,8,5,4,2,2
B1075063,020046 A00010,1,1,7,11,9,7,7
P0328827,020046 A00010,1,1,7,11,9,7,7
B1051455,052041  00024C,1,6,7,11,9,2,2
B1116123,A0141C D00110,1,4,2,1,2,9,9
B1084797,078092  00048,2,10,11,9,6,5,5
M0706312,069077 F00139,1,2,6,4,3,7,7
BC0015094,096900  00527,1,15,4,2,5,1,1
P0349697,,1,17,13,8,8,8,8
M0719079,D0255B D00086,2,16,13,8,7,8,8
B1051313,D0215R C00030,1,11,4,2,5,1,1
E0732347,D0215R C00030,1,11,4,2,5,1,1
E0695532,,2,16,13,8,7,8,8
E0696569,,2,16,13,8,7,8,8
M0667142,G0231S B00018,2,17,9,6,8,8,8
M0754405,001001 N00040,1,2,6,4,3,7,7
M0758210,A0141A C00022,1,4,2,1,2,9,9
B1105516,D0209B C00247,1,11,4,2,5,1,1
M0734742,A0142S F00004,1,4,2,1,2,9,9
M0754185,D0147J A00047,1,5,2,7,1,3,3
E0732545,020046 A00003,1,1,7,11,9,7,7
M0754772,020046 A00003,1,1,7,11,9,7,7
M0734608,L0150D C00016,1,4,2,1,2,9,9
E0732811,D0147T A00072,1,5,2,7,1,3,3
P0356859,D0213W A00034,1,15,4,2,5,1,1
B1109309,027001  00010,1,2,6,4,3,7,7
E0731996,027001  00010,1,2,6,4,3,7,7
M0726876,027001  00010,1,2,6,4,3,7,7
M0744808,027001  00010,1,2,6,4,3,7,7
P0344786,027001  00010,1,2,6,4,3,7,7
E0710761,A0141C D00027,1,4,2,1,2,9,9
M0730656,A0141C D00027,1,4,2,1,2,9,9
M0742035,A0151U E00001,1,4,2,1,2,9,9
M0734959,096921 A00010,1,11,4,2,5,1,1
E0730672,002103 A00021,2,1,6,4,3,7,7
E0727328,L0150K A00012,1,4,2,1,2,9,9
M0741997,L0150K A00012,1,4,2,1,2,9,9
E0702608,,1,2,1,7,1,4,4
E0702612,,1,2,1,7,1,4,4
E0704887,,1,2,1,7,1,4,4
M0734752,,1,2,1,7,1,4,4
M0737753,,1,2,1,7,1,4,4
BC0014342,D0242C E00020,2,16,13,8,8,8,8
B1113686,G0232   00118,1,17,9,6,8,1,1
E0724151,G0232   00118,1,17,9,6,8,1,1
BC0014878,D0215W D00005,1,11,4,2,5,1,1
E0730657,D0256T F00033,2,16,13,8,8,8,8
M0751932,D0256T F00033,2,16,13,8,8,8,8
E0702338,,1,15,8,5,4,1,1
P0351277,,1,15,8,5,4,1,1
M0707597,069077 F00139,1,2,6,4,3,7,7
M0719056,D0215P E00028,1,11,4,2,5,1,1
E0710356,D0107A B00008,1,4,2,1,2,9,9
M0735138,D0107A B00008,1,4,2,1,2,9,9
E0735528,D0216Y A00022,1,11,4,2,5,1,1
M0757191,D0216Y A00022,1,11,4,2,5,1,1
B1114130,,1,5,4,2,2,9,9
E0715749,,1,5,4,2,2,9,9
P0353614,,1,5,4,2,2,9,9
